id,clause_ref,requirement_type,text,actor,action,object,conditions,source_clause
1.1,FMVSS_127,functional,"This final rule adopts a new Federal Motor Vehicle Safety Standard to require automatic emergency braking (AEB), including pedestrian AEB (PAEB), systems on light vehicles.",Federal Motor Vehicle Safety Standard,require,"automatic emergency braking (AEB), including pedestrian AEB (PAEB), systems",on light vehicles,FMVSS_127
1.2,FMVSS_127,functional,This final rule specifies that an AEB system must detect and react to an imminent crash with both a lead vehicle or a pedestrian.,AEB system,detect and react,an imminent crash,with both a lead vehicle or a pedestrian,FMVSS_127
1.3,FMVSS_127,functional,An AEB system must detect and react to an imminent crash with both a lead vehicle and a pedestrian.,AEB system,detect and react,imminent crash,with both a lead vehicle and a pedestrian,FMVSS_127
1.4,FMVSS_127,other,"AEB technologies, on new passenger vehicles, are a key Departmental action to improve vehicle and pedestrian safety.",Departmental action,improve,vehicle and pedestrian safety,"AEB technologies, on new passenger vehicles",FMVSS_127
1.5,FMVSS_127,functional,All passenger vehicles must be equipped with an AEB system.,All passenger vehicles,be equipped with,AEB system,,FMVSS_127
1.6,I,functional,"NHTSA is issuing this final rule to address these significant safety problems through a new Federal Motor Vehicle Safety Standard that requires all light vehicles be equipped with forward collision warning (FCW), automatic emergency braking (AEB), and pedestrian automatic emergency braking (PAEB) technology.",all light vehicles,be equipped,"forward collision warning (FCW), automatic emergency braking (AEB), and pedestrian automatic emergency braking (PAEB) technology",,I. Executive Summary
1.7,I,functional,AEB systems reduce the frequency and severity of lead vehicle rear-end (lead vehicle AEB) and pedestrian (PAEB) crashes.,AEB systems,reduce,frequency and severity of lead vehicle rear-end (lead vehicle AEB) and pedestrian (PAEB) crashes,,I. Executive Summary
1.8,I,functional,AEB systems ... automatically apply the vehicle brakes if the driver has not done so.,AEB systems,automatically apply,vehicle brakes,if the driver has not done so,I. Executive Summary
1.9,I,functional,AEB systems have reached a level of maturity to make a significant contribution to reducing the frequency and severity of crashes.,AEB systems,make a significant contribution,reducing the frequency and severity of crashes,have reached a level of maturity,I. Executive Summary
1.10,,functional,"""all passenger motor vehicles"" manufactured for sale in the United States be equipped with AEB and FCW.",passenger motor vehicle manufacturers,equip,AEB and FCW,manufactured for sale in the United States,
1.11,,functional,"in this final rule, NHTSA requires AEB and FCW on all passenger cars and multipurpose passenger vehicles, trucks, and buses with a gross vehicle weight rating (GVWR) of 10,000 Ibs. or less.",NHTSA,require,AEB and FCW,"on all passenger cars, multipurpose passenger vehicles, trucks, and buses with a gross vehicle weight rating (GVWR) of 10,000 lbs. or less",
1.12,,functional,"an FCW system alert the driver if there is a ""vehicle ahead or an object in the path of travel"" if a collision is imminent.",FCW system,alert,driver,if there is a vehicle ahead or an object in the path of travel and a collision is imminent,
1.13,2,functional,The proposed AEB system must provide the driver with a forward collision warning (FCW) at any forward speed greater than 10 km/h (6.2 mph).,AEB system,provide,forward collision warning (FCW),at any forward speed greater than 10 km/h (6.2 mph),2
1.14,2,functional,The proposed AEB system must automatically apply the brakes at any forward speed.,AEB system,automatically apply,the brakes,at any forward speed,2
1.15,2,test,"The proposed AEB system must prevent the vehicle from contacting the lead vehicle (i.e., vehicle test device) or pedestrian test device when tested according to the proposed test procedures.",AEB system,prevent,"the vehicle from contacting the lead vehicle (i.e., vehicle test device) or pedestrian test device",when tested according to the proposed test procedures,2
1.16,2,diagnostic,The proposed AEB system must detect AEB system malfunctions and notify the driver of any malfunction that causes the AEB system not to meet the proposed minimum performance requirements of the safety standard.,AEB system,detect and notify,AEB system malfunctions,any malfunction that causes the AEB system not to meet the proposed minimum performance requirements of the safety standard,2
1.17,6,diagnostic,NHTSA proposed that AEB systems continuously detect system malfunctions.,AEB systems,detect,system malfunctions,continuously,6
1.18,6,functional,"If an AEB system detects a malfunction that prevents it from performing its required safety function, the vehicle would provide the vehicle operator with a warning.",vehicle,provide,the vehicle operator with a warning,If an AEB system detects a malfunction that prevents it from performing its required safety function,6
1.19,6,functional,The warning would be required to remain active as long as the malfunction exists while the vehicle's starting system is on.,warning,remain active,,as long as the malfunction exists while the vehicle's starting system is on,6
1.20,7,performance,"Vehicles manufactured on or after September 1, three years after the publication date of a final rule, but before September 1, four years after the publication date of a final rule, would be required to meet all requirements except that lower speed PAEB performance test requirements.",vehicles,meet,all requirements except that lower speed PAEB performance test requirements,"manufactured on or after September 1, three years after the publication date of a final rule, but before September 1, four years after the publication date of a final rule",7
1.21,7,performance,Vehicles manufactured four years after the publication date of a final rule would be required to meet all requirements specified in the final rule.,vehicles,meet,all requirements specified in the final rule,manufactured four years after the publication date of a final rule,7
1.22,7,performance,"NHTSA proposed that small-volume manufacturers, final-stage manufacturers, and alterers would be provided an additional year of lead time for all requirements.","small-volume manufacturers, final-stage manufacturers, and alterers",be provided,an additional year of lead time for all requirements,,7
1.23,,performance,Regenerative braking settings for electric and hybrid electric vehicles did not have a negative effect on the performance of the tested AEB.,Regenerative braking settings,did not have,a negative effect on the performance of the tested AEB,,
1.24,FMVSS_127,functional,system that applies the brakes automatically at any forward speed that is greater than 10 km/h (6.2 mph) and less than 145 km/h (90.1 mph) when a collision with a lead vehicle is imminent,system,applies,the brakes,at any forward speed that is greater than 10 km/h (6.2 mph) and less than 145 km/h (90.1 mph) when a collision with a lead vehicle is imminent,FMVSS_127
1.25,FMVSS_127,performance,the AEB system is required to prevent the vehicle from colliding with the lead vehicle or pedestrian test devices when tested according to the standard's test procedures,AEB system,prevent,the vehicle from colliding with the lead vehicle or pedestrian test devices,when tested according to the standard's test procedures,FMVSS_127
1.26,FMVSS_127,environmental,this requirement applies only when environmental conditions permit,requirement,applies,,only when environmental conditions permit,FMVSS_127
1.27,FMVSS_127,test,"These track test procedures have defined parameters, including travel speeds up to 100 km/h (62.2 mph), that ensure that AEB systems prevent crashes in a controlled testing environment",track test procedures,have,"defined parameters, including travel speeds up to 100 km/h (62.2 mph)",ensure that AEB systems prevent crashes in a controlled testing environment,FMVSS_127
1.28,D. FCW and AEB Equipment Requirements,functional,NHTSA proposed that an FCW must provide the driver warning of an impending collision when the vehicle is traveling at a forward speed greater than 10 km/h (6.2 mph).,FCW,provide,driver warning of an impending collision,when the vehicle is traveling at a forward speed greater than 10 km/h (6.2 mph),D. FCW and AEB Equipment Requirements
1.29,D. FCW and AEB Equipment Requirements,functional,the NPRM require a vehicle to have an AEB system that applies the service brakes automatically when a collision with a lead vehicle or pedestrian is imminent at any forward speed.,AEB system,applies,the service brakes automatically,when a collision with a lead vehicle or pedestrian is imminent at any forward speed,D. FCW and AEB Equipment Requirements
1.30,D. FCW and AEB Equipment Requirements,performance,"this requirement was included to ensure that AEB systems are able to function at all times, including at speeds above those NHTSA proposed as part of the performance test requirements where on-track testing is currently not practicable.",AEB systems,function,at all times,including at speeds above those NHTSA proposed as part of the performance test requirements where on-track testing is currently not practicable,D. FCW and AEB Equipment Requirements
1.31,S5.1,functional,"S5.1 of FMVSS No. 224, 'Rear impact protection,' requires trailers and semitrailers with a GVWR of 4,536 kg or more to be equipped with a rear impact guard certified as meeting FMVSS No. 223, 'Rear impact guards.'",trailers and semitrailers,to be equipped,rear impact guard certified as meeting FMVSS No. 223,"with a GVWR of 4,536 kg or more",S5.1
1.32,FMVSS No. 135,functional,FMVSS No. 135 requires that the service brakes shall be activated by means of foot control.,FMVSS No. 135,requires,the service brakes shall be activated by means of foot control,,FMVSS No. 135
1.33,S5.3,performance,S5.3 requires that any vehicle that has an inside rearview mirror that does not meet the performance requirements for field of view included in S5.1.1,any vehicle,does not meet,the performance requirements for field of view,with an inside rearview mirror,S5.3
1.34,3,performance,"NHTSA is committed to establishing performance requirements that are as reflective of the real world as possible, and that encourage manufacturers to develop robust AEB systems with sufficient resiliency to handle the widely variable scenarios they are intended to handle.",NHTSA,establish,performance requirements,as reflective of the real world as possible; encourage manufacturers to develop robust AEB systems with sufficient resiliency to handle widely variable scenarios,3
1.35,3,environmental,The language of the NPRM sought to provide safety under environmental conditions outside of those specified in a track testing environment.,NPRM,provide,safety,under environmental conditions outside of those specified in a track testing environment,3
1.36,,interface,OEMs should be permitted to supplement the primary auditory and visual FCW signal modalities with a haptic warning component.,OEMs,supplement,primary auditory and visual FCW signal modalities with a haptic warning component,should be permitted,
1.37,,interface,HATCl requested that NHTSA permit haptic signals to be used as the primary or secondary warning.,HATCl,requested,haptic signals to be used as the primary or secondary warning,permit by NHTSA,
1.38,,functional,The FCW auditory signal would be the primary warning modality.,,be,primary warning modality,FCW auditory signal,FMVSS_127
1.39,,performance,The FCW auditory signal's fundamental frequency be at least 800 Hz.,FCW auditory signal,have,fundamental frequency,at least 800 Hz,FMVSS_127
1.40,,performance,"The FCW auditory signal include a duty cycle, or percentage of time the sound is present, of 0.25-0.95.",FCW auditory signal,include,duty cycle,0.25-0.95,FMVSS_127
1.41,,performance,The FCW auditory signal include a tempo in the range of 6-12 pulses per second.,FCW auditory signal,include,tempo,6-12 pulses per second,FMVSS_127
1.42,,performance,The FCW auditory signal is required to have a minimum intensity of 15-30 dB above the masked threshold.,FCW auditory signal,have,minimum intensity,15-30 dB above the masked threshold,FMVSS_127
1.43,,performance,The proposed requirements provide leeway for manufacturers to implement a less invasive advisory or preliminary alert that would precede the required FCW.,manufacturers,implement,less invasive advisory or preliminary alert,precede the required FCW,
1.44,,performance,It also would not prevent multiple intensities that all meet the minimum requirement in this final rule.,,would not prevent,multiple intensities,that all meet the minimum requirement in this final rule,
1.45,,functional,The FCW auditory signal is considered the primary means of warning a potentially inattentive driver.,,is considered,the primary means of warning a potentially inattentive driver,,
1.46,,other,Allowing the auditory FCW signal to be suppressed would undercut its important safety function.,,would undercut,its important safety function,allowing the auditory FCW signal to be suppressed,
1.47,2,functional,The NPRM proposed prohibiting manual AEB system deactivation at any speed above the proposed 10 km/h minimum speed threshold for AEB system operation.,NPRM,prohibiting,manual AEB system deactivation,at any speed above the proposed 10 km/h minimum speed threshold for AEB system operation,2
1.48,2.A,functional,"In instances where a light vehicle is towing a trailer with no independent brakes, or with brakes that do not include stability control functions, emergency braking may cause jack-knifing, or other dangerous outcomes.",AEB system,cause,jack-knifing or other dangerous outcomes,"when a light vehicle is towing a trailer with no independent brakes, or with brakes that do not include stability control functions",2. AEB REQUIREMENT A. AEB DEACTIVATION
1.49,2.A,functional,"an AEB system where sensors have been compromised because of misalignment, frayed wiring, or other partial failure, could provide the perception system with incomplete information that is misinterpreted and causes a dangerous vehicle maneuver.",AEB system,provide,perception system with incomplete information,"sensors have been compromised because of misalignment, frayed wiring, or other partial failure",2. AEB REQUIREMENT A. AEB DEACTIVATION
1.50,,functional,NHTSA expects upfitters to avoid installing equipment that would result in AEB no longer working (or malfunctioning).,upfitters,avoid installing,equipment,that would result in AEB no longer working (or malfunctioning),
1.51,,functional,upfitters would leave final installation of this equipment to the vehicle owner in rare cases where no engineering solution may exist such as with snowplows.,upfitters,leave final installation,this equipment,in rare cases where no engineering solution may exist such as with snowplows,
1.52,,functional,the malfunction indicator would illuminate as a constant reminder to the driver that AEB is not working.,,illuminate,the malfunction indicator,as a constant reminder to the driver that AEB is not working,
1.53,,performance,"The proposed performance criterion for all AEB tests involving a lead vehicle is full collision avoidance, meaning the subject vehicle must not contact the lead vehicle.",subject vehicle,must not contact,lead vehicle,in all AEB tests involving a lead vehicle,
1.54,,performance,The subject vehicle must not contact the lead vehicle in all AEB performance tests listed in the regulation.,subject vehicle,must not contact,lead vehicle,in all AEB performance tests listed in the regulation,
1.55,null,test,"To maximize safety and consumer acceptance, false activations must be limited as much as possible through test procedures included in the final rule.",null,limited,false activations,through test procedures included in the final rule,null
1.56,null,test,These performance-based tests are a more robust solution than a document-based approach.,null,are,performance-based tests,more robust solution than a document-based approach,null
1.57,null,test,False positive testing is absolutely necessary for safety and to create public trust.,null,is,false positive testing,absolutely necessary for safety and to create public trust,null
1.58,,performance,The braking criteria limit of 0.25g beyond manual braking is to be finalized as proposed.,NHTSA,finalize,braking criteria limit of 0.25g,"beyond manual braking, as proposed",
1.59,106,functional,"Manufacturers are free to design their vehicles to have the malfunction detection notification be communicated directly to the ADS, a remote assistant or service personnel, as a redundant means of communication.",Manufacturers,design,vehicles with malfunction detection notification,as a redundant means of communication,106
1.60,3,functional,"The driver must be warned in all instances of malfunctions, including malfunctions caused solely by sensor obstructions.",driver,be warned,malfunctions,"in all instances, including malfunctions caused solely by sensor obstructions",3
1.61,3,test,"During track testing of the AEB system all sensors used by the system and any part of the vehicle immediately ahead of the sensors, such as plastic trim, the windshield, etc., would be free of debris or obstructions.",NHTSA,must ensure,all sensors and any part of the vehicle immediately ahead of the sensors are free of debris or obstructions,during track testing of the AEB system,3
