id,clause_ref,requirement_type,text,actor,action,object,conditions,source_clause
1.1,3.1,other,The application for approval of a vehicle type with regard to the AEBS shall be submitted by the vehicle manufacturer or by his authorised representative.,vehicle manufacturer or his authorised representative,submit,the application for approval of a vehicle type with regard to the AEBS,,3.1
1.2,3.2,other,It shall be accompanied by the documents mentioned below in triplicate:,It,be accompanied by,the documents mentioned below in triplicate,,3.2
1.3,3.2.1,other,"A description of the vehicle type with regard to the items mentioned in paragraph 2.4., together with a documentation package which gives access to the basic design of the AEBS and the means by which it is linked to other vehicle systems or by which it directly controls output variables. The numbers and/or symbols identifying the vehicle type shall be specified.",,give access to,the basic design of the AEBS and the means by which it is linked to other vehicle systems or by which it directly controls output variables,together with a documentation package; The numbers and/or symbols identifying the vehicle type shall be specified,3.2.1
1.4,3.3,test,A vehicle representative of the vehicle type to be approved shall be submitted to the Technical Service conducting the approval tests.,,submit,a vehicle representative of the vehicle type to be approved,to the Technical Service conducting the approval tests,3.3
1.5,4.1,functional,"If the vehicle type submitted for approval pursuant to this Regulation meets the requirements of paragraph 5. below, approval of that vehicle shall be granted.",,grant,approval of that vehicle,If the vehicle type submitted for approval meets the requirements of paragraph 5.,4.1
1.6,4.2,other,An approval number shall be assigned to each type approved; its first two digits (at present 00 corresponding to the 00 series of amendments) shall indicate the series of amendments incorporating the most recent major technical amendments made to the Regulation at the time of issue of the approval.,,assign,an approval number to each type approved,its first two digits shall indicate the series of amendments incorporating the most recent major technical amendments,4.2
1.7,4.2,other,"The same Contracting Party shall not assign the same number to the same vehicle type equipped with another type of AEBS, or to another vehicle type.",The same Contracting Party,assign,the same number,"to the same vehicle type equipped with another type of AEBS, or to another vehicle type",4.2
1.8,4.3,interface,"Notice of approval or of refusal or withdrawal of approval pursuant to this Regulation shall be communicated to the Contracting Parties to the Agreement which apply this Regulation by means of a form conforming to the model in Annex 1 and documentation supplied by the applicant being in a format not exceeding A4 (210 × 297mm), or folded to that format, and on an appropriate scale or electronic format.",applicant,communicate,Notice of approval or refusal or withdrawal,"pursuant to this Regulation; by means of a form conforming to the model in Annex 1; documentation in a format not exceeding A4, or folded to that format; on an appropriate scale or electronic format",4.3
1.9,4.4,interface,"There shall be affixed, conspicuously and in a readily accessible place specified on the approval form, to every vehicle conforming to a vehicle type approved under this Regulation, an international approval mark conforming to the model described in Annex 2.",,affix,international approval mark,conspicuously and in a readily accessible place specified on the approval form; to every vehicle conforming to a vehicle type approved under this Regulation,4.4
1.10,4.4.1,interface,"A circle surrounding the Letter ""E"" followed by the distinguishing number of the country which has granted approval.",,include,"circle surrounding the Letter ""E""",followed by the distinguishing number of the country which has granted approval,4.4.1
1.11,4.4.2,interface,"The number of this Regulation, followed by the Letter ""R"", a dash and the approval number to the right of the circle prescribed in paragraph 4.4.1. above.",,include,"number of this Regulation, followed by the Letter ""R"", a dash and the approval number",to the right of the circle prescribed in paragraph 4.4.1,4.4.2
1.12,4.6,functional,The approval mark shall be clearly legible and be indelible.,,be,approval mark,legible and indelible,4.6
1.13,4.7,functional,The approval mark shall be placed close to or on the vehicle data plate.,,be placed,approval mark,close to or on the vehicle data plate,4.7
1.14,5.1.1,performance,"Any vehicle fitted with an AEBS complying with the definition of paragraph 2.1. above shall, when activated and operated within the prescribed speed ranges, meet the performance requirements.",vehicle,meet,performance requirements,when activated and operated within the prescribed speed ranges,5.1.1
1.15,5.1.1.1,performance,of paragraphs 5.1. and paragraphs 5.3. to 5.6. of this Regulation for all vehicles.,all vehicles,comply,paragraphs 5.1. and paragraphs 5.3. to 5.6.,,5.1.1.1
1.16,5.1.1.2,performance,of paragraph 5.2.1. of this Regulation for vehicles submitted to approval for Car to car scenario.,vehicles,comply,paragraph 5.2.1.,submitted to approval for Car to car scenario,5.1.1.2
1.17,5.1.1.3,performance,of paragraph 5.2.2. of this Regulation for vehicles submitted to approval for Car to pedestrian scenario.,vehicles,comply,paragraph 5.2.2.,submitted to approval for Car to pedestrian scenario,5.1.1.3
1.18,5.1.1.4,performance,Of paragraph 5.2.3. of this Regulation for vehicles submitted to approval for Car to bicycle scenario.,vehicles,comply,paragraph 5.2.3.,submitted to approval for Car to bicycle scenario,5.1.1.4
1.19,5.1.2,performance,The effectiveness of AEBS shall not be adversely affected by magnetic or electrical fields. This shall be demonstrated by fulfilling the technical requirements and respecting the transitional provisions of the 05 series of amendments to UN Regulation No. 10.,AEBS,not be adversely affected,effectiveness,by magnetic or electrical fields; demonstrated by fulfilling the technical requirements and respecting the transitional provisions of the 05 series of amendments to UN Regulation No. 10,5.1.2
1.20,5.2.2.2,functional,"When the system has detected the possibility of an imminent collision, there shall be a braking demand of at least 5.0 m/s² to the service braking system of the vehicle.",system,demand,braking,detected the possibility of an imminent collision,5.2.2.2
1.21,5.2.2.2,test,This shall be tested in accordance with paragraph 6.6. of this Regulation.,,tested,,in accordance with paragraph 6.6. of this Regulation,5.2.2.2
1.22,7,performance,"At subject vehicle speeds of 40 km/h, the maximum mass is 10.00.",,ensure,maximum mass,subject vehicle speed is 40 km/h,7
1.23,7,performance,"At subject vehicle speeds of 45 km/h, the maximum mass is 25.00.",,ensure,maximum mass,subject vehicle speed is 45 km/h,7
1.24,7,performance,"At subject vehicle speeds of 50 km/h, the maximum mass is 30.00.",,ensure,maximum mass,subject vehicle speed is 50 km/h,7
1.25,7,performance,"At subject vehicle speeds of 55 km/h, the maximum mass is 35.00.",,ensure,maximum mass,subject vehicle speed is 55 km/h,7
